Hi|How Are You?
I HATE|CODENAME ENGINE
lets go|GAMBLING!!!
i guess|bro
FUCK|NO
its red hatsune miku|bitch
i just lost my dawg|my brother told me how to chase the bag
chop chop|debunker boy
get google|dunked
im an athiest producer|i use logic and reason
im|spongebob
fnf mic'd up|peaked the engine game
What a|nice tree
I love|MagicFork
Collect my|Pages
Why are you|Reading this
Har har|har
Rhythm Gaming|Mediocrity
anything but|being productive
everyone come back| we're having a bugfix
yo|what colour should i make the menu?
california girls|we're unforgettable
funkin|crew
